taskCaseId,activity,timestamp,actor,object
INV-100050,Chrome: Validate,2026-01-05T12:05:19.000Z,Priya Nadella,INV-100050
INV-100050,Chrome: Submit,2026-01-05T12:05:25.000Z,Priya Nadella,INV-100050
INV-100051,Open Excel,2026-01-05T12:28:16.000Z,Sam Turner,INV-100051
INV-100051,Excel: Copy Vendor,2026-01-05T12:28:23.000Z,Sam Turner,INV-100051
INV-100051,Excel: Copy Amount,2026-01-05T12:28:29.000Z,Sam Turner,INV-100051
INV-100051,Switch to Chrome,2026-01-05T12:28:33.000Z,Sam Turner,INV-100051
INV-100051,Chrome: Paste Vendor,2026-01-05T12:28:37.000Z,Sam Turner,INV-100051
INV-100051,Chrome: Paste Amount,2026-01-05T12:28:42.000Z,Sam Turner,INV-100051
INV-100051,Chrome: Validate,2026-01-05T12:28:48.000Z,Sam Turner,INV-100051
INV-100051,Chrome: Submit,2026-01-05T12:28:54.000Z,Sam Turner,INV-100051
INV-100052,Open Excel,2026-01-05T12:48:44.000Z,Lee Okafor,INV-100052
INV-100052,Excel: Copy Vendor,2026-01-05T12:48:51.000Z,Lee Okafor,INV-100052
INV-100052,Excel: Copy Amount,2026-01-05T12:48:57.000Z,Lee Okafor,INV-100052
INV-100052,Switch to Chrome,2026-01-05T12:49:01.000Z,Lee Okafor,INV-100052
INV-100052,Chrome: Paste Vendor,2026-01-05T12:49:05.000Z,Lee Okafor,INV-100052
INV-100052,Chrome: Paste Amount,2026-01-05T12:49:10.000Z,Lee Okafor,INV-100052
INV-100052,Chrome: Validate,2026-01-05T12:49:16.000Z,Lee Okafor,INV-100052
INV-100052,Chrome: Submit,2026-01-05T12:49:22.000Z,Lee Okafor,INV-100052
INV-100053,Open Excel,2026-01-05T13:12:13.000Z,Maria Alvarez,INV-100053
INV-100053,Excel: Copy Vendor,2026-01-05T13:12:20.000Z,Maria Alvarez,INV-100053
INV-100053,Excel: Copy Amount,2026-01-05T13:12:26.000Z,Maria Alvarez,INV-100053
INV-100053,Switch to Chrome,2026-01-05T13:12:30.000Z,Maria Alvarez,INV-100053
INV-100053,Chrome: Paste Vendor,2026-01-05T13:12:34.000Z,Maria Alvarez,INV-100053
INV-100053,Chrome: Paste Amount,2026-01-05T13:12:39.000Z,Maria Alvarez,INV-100053
INV-100053,Chrome: Validate,2026-01-05T13:12:45.000Z,Maria Alvarez,INV-100053
INV-100053,Chrome: Submit,2026-01-05T13:12:51.000Z,Maria Alvarez,INV-100053
INV-100054,Open Excel,2026-01-05T13:35:41.000Z,Tom Becker,INV-100054
INV-100054,Excel: Copy Vendor,2026-01-05T13:35:49.000Z,Tom Becker,INV-100054
INV-100054,Switch to Chrome,2026-01-05T13:35:53.000Z,Tom Becker,INV-100054
INV-100054,Chrome: Paste Vendor,2026-01-05T13:35:57.000Z,Tom Becker,INV-100054
INV-100054,Switch to Excel,2026-01-05T13:36:03.000Z,Tom Becker,INV-100054
INV-100054,Excel: Copy Amount,2026-01-05T13:36:08.000Z,Tom Becker,INV-100054
INV-100054,Switch to Chrome,2026-01-05T13:36:12.000Z,Tom Becker,INV-100054
INV-100054,Chrome: Paste Amount,2026-01-05T13:36:16.000Z,Tom Becker,INV-100054
INV-100054,Chrome: Validate,2026-01-05T13:36:22.000Z,Tom Becker,INV-100054
INV-100054,Chrome: Submit,2026-01-05T13:36:28.000Z,Tom Becker,INV-100054
INV-100055,Open Excel,2026-01-05T13:59:10.000Z,Aisha Khan,INV-100055
INV-100055,Excel: Copy Vendor,2026-01-05T13:59:18.000Z,Aisha Khan,INV-100055
INV-100055,Switch to Chrome,2026-01-05T13:59:22.000Z,Aisha Khan,INV-100055
INV-100055,Chrome: Paste Vendor,2026-01-05T13:59:26.000Z,Aisha Khan,INV-100055
INV-100055,Switch to Excel,2026-01-05T13:59:32.000Z,Aisha Khan,INV-100055
INV-100055,Excel: Copy Amount,2026-01-05T13:59:37.000Z,Aisha Khan,INV-100055
INV-100055,Switch to Chrome,2026-01-05T13:59:41.000Z,Aisha Khan,INV-100055
INV-100055,Chrome: Paste Amount,2026-01-05T13:59:45.000Z,Aisha Khan,INV-100055
INV-100055,Chrome: Validate,2026-01-05T13:59:51.000Z,Aisha Khan,INV-100055
INV-100055,Chrome: Submit,2026-01-05T13:59:57.000Z,Aisha Khan,INV-100055
INV-100056,Open Excel,2026-01-05T14:22:38.000Z,Diego Santos,INV-100056
INV-100056,Excel: Copy Vendor,2026-01-05T14:22:46.000Z,Diego Santos,INV-100056
INV-100056,Switch to Chrome,2026-01-05T14:22:50.000Z,Diego Santos,INV-100056
INV-100056,Chrome: Paste Vendor,2026-01-05T14:22:54.000Z,Diego Santos,INV-100056
INV-100056,Switch to Excel,2026-01-05T14:23:00.000Z,Diego Santos,INV-100056
INV-100056,Excel: Copy Amount,2026-01-05T14:23:05.000Z,Diego Santos,INV-100056
INV-100056,Switch to Chrome,2026-01-05T14:23:09.000Z,Diego Santos,INV-100056
INV-100056,Chrome: Paste Amount,2026-01-05T14:23:13.000Z,Diego Santos,INV-100056
INV-100056,Chrome: Validate,2026-01-05T14:23:19.000Z,Diego Santos,INV-100056
INV-100056,Chrome: Submit,2026-01-05T14:23:25.000Z,Diego Santos,INV-100056
INV-100057,Open Excel,2026-01-05T14:43:06.000Z,Nina Petrova,INV-100057
INV-100057,Excel: Copy Vendor,2026-01-05T14:43:14.000Z,Nina Petrova,INV-100057
INV-100057,Switch to Chrome,2026-01-05T14:43:18.000Z,Nina Petrova,INV-100057
INV-100057,Chrome: Paste Vendor,2026-01-05T14:43:22.000Z,Nina Petrova,INV-100057
INV-100057,Switch to Excel,2026-01-05T14:43:28.000Z,Nina Petrova,INV-100057
INV-100057,Excel: Copy Amount,2026-01-05T14:43:33.000Z,Nina Petrova,INV-100057
INV-100057,Switch to Chrome,2026-01-05T14:43:37.000Z,Nina Petrova,INV-100057
INV-100057,Chrome: Paste Amount,2026-01-05T14:43:41.000Z,Nina Petrova,INV-100057
INV-100057,Chrome: Validate,2026-01-05T14:43:47.000Z,Nina Petrova,INV-100057
INV-100057,Chrome: Submit,2026-01-05T14:43:53.000Z,Nina Petrova,INV-100057
INV-100058,Open Excel,2026-01-05T15:06:35.000Z,Priya Nadella,INV-100058
INV-100058,Excel: Copy Vendor,2026-01-05T15:06:43.000Z,Priya Nadella,INV-100058
INV-100058,Switch to Chrome,2026-01-05T15:06:47.000Z,Priya Nadella,INV-100058
INV-100058,Chrome: Paste Vendor,2026-01-05T15:06:51.000Z,Priya Nadella,INV-100058
INV-100058,Switch to Excel,2026-01-05T15:06:57.000Z,Priya Nadella,INV-100058
INV-100058,Excel: Copy Amount,2026-01-05T15:07:02.000Z,Priya Nadella,INV-100058
INV-100058,Switch to Chrome,2026-01-05T15:07:06.000Z,Priya Nadella,INV-100058
INV-100058,Chrome: Paste Amount,2026-01-05T15:07:10.000Z,Priya Nadella,INV-100058
INV-100058,Chrome: Validate,2026-01-05T15:07:16.000Z,Priya Nadella,INV-100058
INV-100058,Chrome: Submit,2026-01-05T15:07:22.000Z,Priya Nadella,INV-100058
INV-100059,Open Excel,2026-01-05T15:30:03.000Z,Sam Turner,INV-100059
INV-100059,Excel: Copy Vendor,2026-01-05T15:30:11.000Z,Sam Turner,INV-100059
INV-100059,Switch to Chrome,2026-01-05T15:30:15.000Z,Sam Turner,INV-100059
INV-100059,Chrome: Paste Vendor,2026-01-05T15:30:19.000Z,Sam Turner,INV-100059
INV-100059,Switch to Excel,2026-01-05T15:30:25.000Z,Sam Turner,INV-100059
INV-100059,Excel: Copy Amount,2026-01-05T15:30:30.000Z,Sam Turner,INV-100059
INV-100059,Switch to Chrome,2026-01-05T15:30:34.000Z,Sam Turner,INV-100059
INV-100059,Chrome: Paste Amount,2026-01-05T15:30:38.000Z,Sam Turner,INV-100059
INV-100059,Chrome: Validate,2026-01-05T15:30:44.000Z,Sam Turner,INV-100059
INV-100059,Switch to Excel,2026-01-05T15:30:52.000Z,Sam Turner,INV-100059
INV-100059,Excel: Copy Amount,2026-01-05T15:30:58.000Z,Sam Turner,INV-100059
INV-100059,Switch to Chrome,2026-01-05T15:31:02.000Z,Sam Turner,INV-100059
INV-100059,Chrome: Paste Amount,2026-01-05T15:31:07.000Z,Sam Turner,INV-100059
INV-100059,Chrome: Validate,2026-01-05T15:31:14.000Z,Sam Turner,INV-100059
INV-100059,Chrome: Submit,2026-01-05T15:31:20.000Z,Sam Turner,INV-100059
INV-100060,Open Excel,2026-01-05T15:53:32.000Z,Lee Okafor,INV-100060
INV-100060,Excel: Copy Vendor,2026-01-05T15:53:40.000Z,Lee Okafor,INV-100060
INV-100060,Switch to Chrome,2026-01-05T15:53:44.000Z,Lee Okafor,INV-100060
INV-100060,Chrome: Paste Vendor,2026-01-05T15:53:48.000Z,Lee Okafor,INV-100060
INV-100060,Switch to Excel,2026-01-05T15:53:54.000Z,Lee Okafor,INV-100060
INV-100060,Excel: Copy Amount,2026-01-05T15:53:59.000Z,Lee Okafor,INV-100060
INV-100060,Switch to Chrome,2026-01-05T15:54:03.000Z,Lee Okafor,INV-100060
INV-100060,Chrome: Paste Amount,2026-01-05T15:54:07.000Z,Lee Okafor,INV-100060
INV-100060,Chrome: Validate,2026-01-05T15:54:13.000Z,Lee Okafor,INV-100060
INV-100060,Switch to Excel,2026-01-05T15:54:21.000Z,Lee Okafor,INV-100060
INV-100060,Excel: Copy Amount,2026-01-05T15:54:27.000Z,Lee Okafor,INV-100060
INV-100060,Switch to Chrome,2026-01-05T15:54:31.000Z,Lee Okafor,INV-100060
INV-100060,Chrome: Paste Amount,2026-01-05T15:54:36.000Z,Lee Okafor,INV-100060
INV-100060,Chrome: Validate,2026-01-05T15:54:43.000Z,Lee Okafor,INV-100060
INV-100060,Chrome: Submit,2026-01-05T15:54:49.000Z,Lee Okafor,INV-100060
INV-100061,Open Excel,2026-01-05T16:17:00.000Z,Maria Alvarez,INV-100061
INV-100061,Excel: Copy Vendor,2026-01-05T16:17:08.000Z,Maria Alvarez,INV-100061
INV-100061,Switch to Chrome,2026-01-05T16:17:12.000Z,Maria Alvarez,INV-100061
INV-100061,Chrome: Paste Vendor,2026-01-05T16:17:16.000Z,Maria Alvarez,INV-100061
INV-100061,Switch to Excel,2026-01-05T16:17:22.000Z,Maria Alvarez,INV-100061
INV-100061,Excel: Copy Amount,2026-01-05T16:17:27.000Z,Maria Alvarez,INV-100061
INV-100061,Switch to Chrome,2026-01-05T16:17:31.000Z,Maria Alvarez,INV-100061
INV-100061,Chrome: Paste Amount,2026-01-05T16:17:35.000Z,Maria Alvarez,INV-100061
INV-100061,Chrome: Validate,2026-01-05T16:17:41.000Z,Maria Alvarez,INV-100061
INV-100061,Switch to Excel,2026-01-05T16:17:49.000Z,Maria Alvarez,INV-100061
INV-100061,Excel: Copy Amount,2026-01-05T16:17:55.000Z,Maria Alvarez,INV-100061
INV-100061,Switch to Chrome,2026-01-05T16:17:59.000Z,Maria Alvarez,INV-100061
INV-100061,Chrome: Paste Amount,2026-01-05T16:18:04.000Z,Maria Alvarez,INV-100061
INV-100061,Chrome: Validate,2026-01-05T16:18:11.000Z,Maria Alvarez,INV-100061
INV-100061,Chrome: Submit,2026-01-05T16:18:17.000Z,Maria Alvarez,INV-100061
INV-100062,Open Excel,2026-01-05T16:37:29.000Z,Tom Becker,INV-100062
INV-100062,Excel: Copy Vendor,2026-01-05T16:37:36.000Z,Tom Becker,INV-100062
INV-100062,Excel: Copy Amount,2026-01-05T16:37:42.000Z,Tom Becker,INV-100062
INV-100062,Switch to Chrome,2026-01-05T16:37:46.000Z,Tom Becker,INV-100062
INV-100062,Chrome: Paste Vendor,2026-01-05T16:37:50.000Z,Tom Becker,INV-100062
INV-100062,Chrome: Paste Amount,2026-01-05T16:37:55.000Z,Tom Becker,INV-100062
INV-100062,Chrome: Validate,2026-01-05T16:38:01.000Z,Tom Becker,INV-100062
INV-100062,Chrome: Submit,2026-01-05T16:38:07.000Z,Tom Becker,INV-100062
INV-100063,Open Excel,2026-01-06T09:00:57.000Z,Aisha Khan,INV-100063
INV-100063,Excel: Copy Vendor,2026-01-06T09:01:04.000Z,Aisha Khan,INV-100063
INV-100063,Excel: Copy Amount,2026-01-06T09:01:10.000Z,Aisha Khan,INV-100063
INV-100063,Switch to Chrome,2026-01-06T09:01:14.000Z,Aisha Khan,INV-100063
INV-100063,Chrome: Paste Vendor,2026-01-06T09:01:18.000Z,Aisha Khan,INV-100063
INV-100063,Chrome: Paste Amount,2026-01-06T09:01:23.000Z,Aisha Khan,INV-100063
INV-100063,Chrome: Validate,2026-01-06T09:01:29.000Z,Aisha Khan,INV-100063
INV-100063,Chrome: Submit,2026-01-06T09:01:35.000Z,Aisha Khan,INV-100063
INV-100064,Open Excel,2026-01-06T09:24:25.000Z,Diego Santos,INV-100064
INV-100064,Excel: Copy Vendor,2026-01-06T09:24:32.000Z,Diego Santos,INV-100064
INV-100064,Excel: Copy Amount,2026-01-06T09:24:38.000Z,Diego Santos,INV-100064
INV-100064,Switch to Chrome,2026-01-06T09:24:42.000Z,Diego Santos,INV-100064
INV-100064,Chrome: Paste Vendor,2026-01-06T09:24:46.000Z,Diego Santos,INV-100064
INV-100064,Chrome: Paste Amount,2026-01-06T09:24:51.000Z,Diego Santos,INV-100064
INV-100064,Chrome: Validate,2026-01-06T09:24:57.000Z,Diego Santos,INV-100064
INV-100064,Chrome: Submit,2026-01-06T09:25:03.000Z,Diego Santos,INV-100064
INV-100065,Open Excel,2026-01-06T09:47:54.000Z,Nina Petrova,INV-100065
INV-100065,Excel: Copy Vendor,2026-01-06T09:48:01.000Z,Nina Petrova,INV-100065
INV-100065,Excel: Copy Amount,2026-01-06T09:48:07.000Z,Nina Petrova,INV-100065
INV-100065,Switch to Chrome,2026-01-06T09:48:11.000Z,Nina Petrova,INV-100065
INV-100065,Chrome: Paste Vendor,2026-01-06T09:48:15.000Z,Nina Petrova,INV-100065
INV-100065,Chrome: Paste Amount,2026-01-06T09:48:20.000Z,Nina Petrova,INV-100065
INV-100065,Chrome: Validate,2026-01-06T09:48:26.000Z,Nina Petrova,INV-100065
INV-100065,Chrome: Submit,2026-01-06T09:48:32.000Z,Nina Petrova,INV-100065
INV-100066,Open Excel,2026-01-06T10:11:22.000Z,Priya Nadella,INV-100066
INV-100066,Excel: Copy Vendor,2026-01-06T10:11:29.000Z,Priya Nadella,INV-100066
INV-100066,Excel: Copy Amount,2026-01-06T10:11:35.000Z,Priya Nadella,INV-100066
INV-100066,Switch to Chrome,2026-01-06T10:11:39.000Z,Priya Nadella,INV-100066
INV-100066,Chrome: Paste Vendor,2026-01-06T10:11:43.000Z,Priya Nadella,INV-100066
INV-100066,Chrome: Paste Amount,2026-01-06T10:11:48.000Z,Priya Nadella,INV-100066
INV-100066,Chrome: Validate,2026-01-06T10:11:54.000Z,Priya Nadella,INV-100066
INV-100066,Chrome: Submit,2026-01-06T10:12:00.000Z,Priya Nadella,INV-100066
INV-100067,Open Excel,2026-01-06T10:31:51.000Z,Sam Turner,INV-100067
INV-100067,Excel: Copy Vendor,2026-01-06T10:31:58.000Z,Sam Turner,INV-100067
INV-100067,Excel: Copy Amount,2026-01-06T10:32:04.000Z,Sam Turner,INV-100067
INV-100067,Switch to Chrome,2026-01-06T10:32:08.000Z,Sam Turner,INV-100067
INV-100067,Chrome: Paste Vendor,2026-01-06T10:32:12.000Z,Sam Turner,INV-100067
INV-100067,Chrome: Paste Amount,2026-01-06T10:32:17.000Z,Sam Turner,INV-100067
INV-100067,Chrome: Validate,2026-01-06T10:32:23.000Z,Sam Turner,INV-100067
INV-100067,Chrome: Submit,2026-01-06T10:32:29.000Z,Sam Turner,INV-100067
INV-100068,Open Excel,2026-01-06T10:55:19.000Z,Lee Okafor,INV-100068
INV-100068,Excel: Copy Vendor,2026-01-06T10:55:26.000Z,Lee Okafor,INV-100068
INV-100068,Excel: Copy Amount,2026-01-06T10:55:32.000Z,Lee Okafor,INV-100068
INV-100068,Switch to Chrome,2026-01-06T10:55:36.000Z,Lee Okafor,INV-100068
INV-100068,Chrome: Paste Vendor,2026-01-06T10:55:40.000Z,Lee Okafor,INV-100068
INV-100068,Chrome: Paste Amount,2026-01-06T10:55:45.000Z,Lee Okafor,INV-100068
INV-100068,Chrome: Validate,2026-01-06T10:55:51.000Z,Lee Okafor,INV-100068
INV-100068,Chrome: Submit,2026-01-06T10:55:57.000Z,Lee Okafor,INV-100068
INV-100069,Open Excel,2026-01-06T11:18:48.000Z,Maria Alvarez,INV-100069
INV-100069,Excel: Copy Vendor,2026-01-06T11:18:55.000Z,Maria Alvarez,INV-100069
INV-100069,Excel: Copy Amount,2026-01-06T11:19:01.000Z,Maria Alvarez,INV-100069
INV-100069,Switch to Chrome,2026-01-06T11:19:05.000Z,Maria Alvarez,INV-100069
INV-100069,Chrome: Paste Vendor,2026-01-06T11:19:09.000Z,Maria Alvarez,INV-100069
INV-100069,Chrome: Paste Amount,2026-01-06T11:19:14.000Z,Maria Alvarez,INV-100069
INV-100069,Chrome: Validate,2026-01-06T11:19:20.000Z,Maria Alvarez,INV-100069
INV-100069,Chrome: Submit,2026-01-06T11:19:26.000Z,Maria Alvarez,INV-100069
INV-100070,Open Excel,2026-01-06T11:42:16.000Z,Tom Becker,INV-100070
INV-100070,Excel: Copy Vendor,2026-01-06T11:42:23.000Z,Tom Becker,INV-100070
INV-100070,Excel: Copy Amount,2026-01-06T11:42:29.000Z,Tom Becker,INV-100070
INV-100070,Switch to Chrome,2026-01-06T11:42:33.000Z,Tom Becker,INV-100070
INV-100070,Chrome: Paste Vendor,2026-01-06T11:42:37.000Z,Tom Becker,INV-100070
INV-100070,Chrome: Paste Amount,2026-01-06T11:42:42.000Z,Tom Becker,INV-100070
INV-100070,Chrome: Validate,2026-01-06T11:42:48.000Z,Tom Becker,INV-100070
INV-100070,Chrome: Submit,2026-01-06T11:42:54.000Z,Tom Becker,INV-100070
INV-100071,Open Excel,2026-01-06T12:05:44.000Z,Aisha Khan,INV-100071
INV-100071,Excel: Copy Vendor,2026-01-06T12:05:51.000Z,Aisha Khan,INV-100071
INV-100071,Excel: Copy Amount,2026-01-06T12:05:57.000Z,Aisha Khan,INV-100071
INV-100071,Switch to Chrome,2026-01-06T12:06:01.000Z,Aisha Khan,INV-100071
INV-100071,Chrome: Paste Vendor,2026-01-06T12:06:05.000Z,Aisha Khan,INV-100071
INV-100071,Chrome: Paste Amount,2026-01-06T12:06:10.000Z,Aisha Khan,INV-100071
INV-100071,Chrome: Validate,2026-01-06T12:06:16.000Z,Aisha Khan,INV-100071
INV-100071,Chrome: Submit,2026-01-06T12:06:22.000Z,Aisha Khan,INV-100071
INV-100072,Open Excel,2026-01-06T12:26:13.000Z,Diego Santos,INV-100072
INV-100072,Excel: Copy Vendor,2026-01-06T12:26:20.000Z,Diego Santos,INV-100072
INV-100072,Excel: Copy Amount,2026-01-06T12:26:26.000Z,Diego Santos,INV-100072
INV-100072,Switch to Chrome,2026-01-06T12:26:30.000Z,Diego Santos,INV-100072
INV-100072,Chrome: Paste Vendor,2026-01-06T12:26:34.000Z,Diego Santos,INV-100072
INV-100072,Chrome: Paste Amount,2026-01-06T12:26:39.000Z,Diego Santos,INV-100072
INV-100072,Chrome: Validate,2026-01-06T12:26:45.000Z,Diego Santos,INV-100072
INV-100072,Chrome: Submit,2026-01-06T12:26:51.000Z,Diego Santos,INV-100072
INV-100073,Open Excel,2026-01-06T12:49:41.000Z,Nina Petrova,INV-100073
INV-100073,Excel: Copy Vendor,2026-01-06T12:49:48.000Z,Nina Petrova,INV-100073
INV-100073,Excel: Copy Amount,2026-01-06T12:49:54.000Z,Nina Petrova,INV-100073
INV-100073,Switch to Chrome,2026-01-06T12:49:58.000Z,Nina Petrova,INV-100073
INV-100073,Chrome: Paste Vendor,2026-01-06T12:50:02.000Z,Nina Petrova,INV-100073
INV-100073,Chrome: Paste Amount,2026-01-06T12:50:07.000Z,Nina Petrova,INV-100073
INV-100073,Chrome: Validate,2026-01-06T12:50:13.000Z,Nina Petrova,INV-100073
INV-100073,Chrome: Submit,2026-01-06T12:50:19.000Z,Nina Petrova,INV-100073
INV-100074,Open Excel,2026-01-06T13:13:10.000Z,Priya Nadella,INV-100074
INV-100074,Excel: Copy Vendor,2026-01-06T13:13:18.000Z,Priya Nadella,INV-100074
INV-100074,Switch to Chrome,2026-01-06T13:13:22.000Z,Priya Nadella,INV-100074
INV-100074,Chrome: Paste Vendor,2026-01-06T13:13:26.000Z,Priya Nadella,INV-100074
INV-100074,Switch to Excel,2026-01-06T13:13:32.000Z,Priya Nadella,INV-100074
INV-100074,Excel: Copy Amount,2026-01-06T13:13:37.000Z,Priya Nadella,INV-100074
INV-100074,Switch to Chrome,2026-01-06T13:13:41.000Z,Priya Nadella,INV-100074
INV-100074,Chrome: Paste Amount,2026-01-06T13:13:45.000Z,Priya Nadella,INV-100074
INV-100074,Chrome: Validate,2026-01-06T13:13:51.000Z,Priya Nadella,INV-100074
INV-100074,Chrome: Submit,2026-01-06T13:13:57.000Z,Priya Nadella,INV-100074
INV-100075,Open Excel,2026-01-06T13:36:38.000Z,Sam Turner,INV-100075
